id,name,sex,age,height,weight,year,season,sport,event,medal,country,medal_count
1639,Albina Khamitovna Akhatova,F,29,160,55,2006,Winter,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold,Russia,1
1647,Murodzhon Kakharovich Akhmadaliyev,M,21,165,56,2016,Summer,Boxing,Boxing Men's Bantamweight,Bronze,Uzbekistan,1
1649,Artur Kamilevich Akhmatkhuzin,M,28,187,79,2016,Summer,Fencing,"Fencing Men's Foil, Team",Gold,Russia,1
1650,Bakhtiyar Shakhabutdinovich Akhmedov,M,21,190,120,2008,Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver,Russia,1
1682,Morolake Akinosun,F,22,163,61,2016,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,USA,1
1683,Foluke Antinuke Akinradewo,F,24,191,79,2012,Summer,Volleyball,Volleyball Women's Volleyball,Silver,USA,1
1683,Foluke Antinuke Akinradewo,F,28,191,79,2016,Summer,Volleyball,Volleyball Women's Volleyball,Bronze,USA,1
1698,Khadzhimurat Magomedovich Akkayev,M,19,178,105,2004,Summer,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver,Russia,1
1698,Khadzhimurat Magomedovich Akkayev,M,23,178,105,2008,Summer,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze,Russia,1
1700,Marina Dazmirovna Akobiya,F,25,165,57,2000,Summer,Water Polo,Water Polo Women's Water Polo,Bronze,Russia,1
1716,Daniel Akpeyi,M,30,187,80,2016,Summer,Football,Football Men's Football,Bronze,Nigeria,1
1730,Monica Aksamit,F,26,183,74,2016,Summer,Fencing,"Fencing Women's Sabre, Team",Bronze,USA,1
1762,Naser Al Shami,M,22,187,81,2004,Summer,Boxing,Boxing Men's Heavyweight,Bronze,Syria,1
1809,Nasser Salih Nasser Abdullah Al-Attiya,M,41,178,82,2012,Summer,Shooting,Shooting Men's Skeet,Bronze,Qatar,1
1858,Fehaid Al-Deehani,M,33,178,95,2000,Summer,Shooting,Shooting Men's Double Trap,Bronze,Kuwait,1
1858,Fehaid Al-Deehani,M,45,178,95,2012,Summer,Shooting,Shooting Men's Trap,Bronze,Kuwait,1
1858,Fehaid Al-Deehani,M,49,178,95,2016,Summer,Shooting,Shooting Men's Double Trap,Gold,Individual Olympic Athletes,1
1885,Ramzy Al-Duhami,M,40,162,70,2012,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,Saudi Arabia,1
1889,Khaled Al-Eid,M,31,175,57,2000,Summer,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze,Saudi Arabia,1
